20.55	0.6	0.09	5126	1237
22.44	0.75	0.11	6217	1379
25.37	0.85	0.11	7730	1385
27.13	0.9	0.14	9145	1399
29.45	1.05	0.2	10460	1663
30.1	1.35	0.23	11387	1714
30.96	1.45	0.23	12353	1834
34.06	1.6	0.32	15750	4322
36.42	1.7	0.32	18304	8132
38.09	1.85	0.34	19836	8936
39.13	2.15	0.36	21024	11099
39.99	2.2	0.36	19490	11203
41.93	2.25	0.38	20433	10524
44.59	2.35	0.49	22598	11115
47.3	2.5	0.56	25107	13320
52.89	2.6	0.59	33442	16762
55.73	2.7	0.59	36836	18673
56.76	2.85	0.67	40548	20724
59.17	2.95	0.69	42927	20803
60.63	3.1	0.79	43462	21804
